order_no,order_date,customer_name,city,state,customer_type,account_manager,order_priority,product_name,product_category,product_container,ship_mode,ship_date,cost_price,retail_price,profit_margin,order_quantity,sub_total,discount_pct,discount_amt,order_total,shipping_cost,year,month,quarter,ship_delay_days,unit_margin,gross_profit_estimate,discount_pct_decimal,discount_band
4293-1,2014-09-02,Vivek Sundaresam,Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-09-04,156.5,300.97,144.47,23,4533.52,2.0,194.83,4757.22,7.18,2014,9,3,2,144.47,3322.81,0.02,Low
5001-1,2015-10-24,Shahid Hopkins,Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,2015-10-26,0.24,1.26,1.02,8,45.2,3.0,0.0,45.9,0.7,2015,10,4,2,1.02,8.16,0.03,Low
5004-1,2014-03-13,Dennis Pardue,Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,2014-03-13,42.11,80.98,38.87,45,873.32,4.0,72.23,837.57,7.18,2014,3,1,0,38.87,1749.15,0.04,Low
5009-1,2013-02-18,Sean Wendt,Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,2013-02-20,5.33,8.6,3.27,16,73.52,1.0,4.35,740.67,6.19,2013,2,1,2,3.27,52.32,0.01,Low
5010-1,2014-09-13,Christina Vanderzanden,Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,2014-09-17,1.53,2.78,1.25,49,138.46,7.0,5.95,123.77,1.34,2014,9,3,4,1.25,61.25,0.07,Medium
5011-1,2013-11-24,Patrick OBrill,Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2013-11-26,4.59,7.28,2.69,45,197.36,8.0,12.98,183.58,11.15,2013,11,4,2,2.69,121.05,0.08,Medium
5012-1,2014-09-07,Eugene Moren,Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,2014-09-07,1.6,2.62,1.02,45,65.5,4.0,5.9,59.62,0.8,2014,9,3,0,1.02,45.9,0.04,Low
5012-1,2015-01-28,Phillip Flathmann,Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,2015-01-29,1.6,2.62,1.02,34,24.92,2.0,2.49,22.43,0.8,2015,1,1,1,1.02,34.68,0.02,Low
5014-1,2014-06-08,John Lee,Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2014-06-10,3.99,6.23,2.24,25,194.36,10.0,15.93,178.12,6.97,2014,6,2,2,2.24,56.0,0.1,Medium
5015-1,2014-10-02,Ritsa Hightower,Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-10-04,156.5,300.97,144.47,42,1079.62,4.0,30.83,1753.33,7.18,2014,10,4,2,144.47,6067.74,0.04,Low
